Status,SourceColumn,SourceType,SourceNullable,SourceLength,TargetColumn,TargetType,TargetRequired,MatchType,Confidence,Transformation,Rationale
Accepted,EarliestTravelDate,DATETIME,True,,m360_earliest_arrival_date,DateTime,False,AI-Custom,0.735,,Good mapping as both refer to relevant travel dates.
Accepted,GlobalCaseStatus,NVARCHAR,True,10,m360_case_status,Lookup,False,AI-Custom,0.735,,Good logic mapping as status indicators match.
Accepted,ChangeStatusReason,NVARCHAR,True,10,m360_change_status_reason,Lookup,False,AI-Custom,0.735,,Good mapping of status reason to change event.
Accepted,ChangeStatusOtherReason,NVARCHAR,True,255,m360_change_status_other_reason,Memo,False,AI-Custom,0.735,,Good mapping of additional status reasons.
Accepted,IsRevoke,BIT,False,,m360_is_revoke,Boolean,False,AI-Custom,0.735,,Boolean field indicating the revocation.
Accepted,ValidFrom,DATETIME,True,,m360_valid_from,DateTime,False,AI-Custom,0.735,,Excellent match for valid date indicators.
Accepted,ValidTo,DATETIME,True,,m360_valid_to,DateTime,False,AI-Custom,0.735,,Excellent match for valid date indicators.
Accepted,CaseWorker,NVARCHAR,True,50,m360_case_worker,String,False,AI-Custom,0.735,,Case worker corresponds directly to the worker attribute.
Accepted,IsUnaccompaniedMinor,BIT,False,,m360_is_unaccompanied_minor,Boolean,False,AI-Custom,0.735,,Direct mapping from logical attributes.
Accepted,LastDateModified,DATETIME,True,,modifiedon,DateTime,False,AI-System-ModifiedOn,0.76,,Strong match with last modification timestamp.
Review,CreatedBy,NVARCHAR,False,50,createdby,Lookup,False,AI-System-CreatedBy,0.57,,Determined by pattern; refers to the user who created the entry.
UnresolvedSource,BasedCity,NVARCHAR,True,50,,,,,,,
UnresolvedSource,BasedCountry,NVARCHAR,True,3,,,,,,,
UnresolvedSource,DestinationCountry,NVARCHAR,True,3,,,,,,,
UnresolvedSource,FinalDestinationType,NVARCHAR,True,5,,,,,,,
UnresolvedSource,isExternal,BIT,True,,,,,,,,
UnresolvedSource,LatestTravelDate,DATETIME,True,,,,,,,,
UnresolvedSource,ManagingMission,NVARCHAR,True,5,,,,,,,
UnresolvedSource,PrimaryRefNo,NVARCHAR,True,50,,,,,,,
UnresolvedSource,PrimarySource,NVARCHAR,True,50,,,,,,,
UnresolvedSource,ReferralAgencyContact,NVARCHAR,True,100,,,,,,,
UnresolvedSource,Remarks,NVARCHAR,True,255,,,,,,,
UnresolvedSource,rowguid,UNIQUEIDENTIFIER,False,,,,,,,,
UnresolvedSource,trigger_timestamp,DATETIME2,False,7,,,,,,,
UnusedTarget,,,,,createdbyname,String,False,,,,
UnusedTarget,,,,,createdbyyominame,String,True,,,,
UnusedTarget,,,,,createdon,DateTime,False,,,,
UnusedTarget,,,,,createdonbehalfby,Lookup,False,,,,
UnusedTarget,,,,,createdonbehalfbyname,String,False,,,,
UnusedTarget,,,,,createdonbehalfbyyominame,String,True,,,,
UnusedTarget,,,,,importsequencenumber,Integer,False,,,,
UnusedTarget,,,,,m360_caselocationcountryidname,String,False,,,,
UnusedTarget,,,,,m360_casemembershipid,Lookup,False,,,,
UnusedTarget,,,,,m360_casemembershipidname,String,False,,,,
UnusedTarget,,,,,m360_case_statusname,String,False,,,,
UnusedTarget,,,,,m360_categoryname,String,False,,,,
UnusedTarget,,,,,m360_change_status_reasonname,String,False,,,,
UnusedTarget,,,,,m360_external_case_type,Lookup,False,,,,
UnusedTarget,,,,,m360_external_case_typename,String,False,,,,
UnusedTarget,,,,,m360_final_destinationname,String,False,,,,
UnusedTarget,,,,,m360_final_destination_type,Lookup,False,,,,
UnusedTarget,,,,,m360_final_destination_typename,String,False,,,,
UnusedTarget,,,,,m360_individual_classification,Lookup,False,,,,
UnusedTarget,,,,,m360_individual_classificationname,String,False,,,,
UnusedTarget,,,,,m360_internalcasenumber,String,False,,,,
UnusedTarget,,,,,m360_internal_external_case,Picklist,False,,,,
UnusedTarget,,,,,m360_internal_external_casename,Virtual,False,,,,
UnusedTarget,,,,,m360_is_revokename,Virtual,False,,,,
UnusedTarget,,,,,m360_is_unaccompanied_minorname,Virtual,False,,,,
UnusedTarget,,,,,m360_last_date_modified,DateTime,False,,,,
UnusedTarget,,,,,m360_managing_missionname,String,False,,,,
UnusedTarget,,,,,m360_must_travel_by_date,DateTime,False,,,,
UnusedTarget,,,,,m360_name,String,True,,,,
UnusedTarget,,,,,m360_program,Lookup,False,,,,
UnusedTarget,,,,,m360_programname,String,False,,,,
UnusedTarget,,,,,m360_promisory_note_categoryname,String,False,,,,
UnusedTarget,,,,,m360_referralagencyidname,String,False,,,,
UnusedTarget,,,,,m360_referral_entityname,String,False,,,,
UnusedTarget,,,,,m360_reintegration_mission,Lookup,False,,,,
UnusedTarget,,,,,m360_reintegration_missionname,String,False,,,,
UnusedTarget,,,,,m360_rsc,String,False,,,,
UnusedTarget,,,,,m360_rsc_expedite,Boolean,False,,,,
UnusedTarget,,,,,m360_rsc_expeditename,Virtual,False,,,,
UnusedTarget,,,,,m360_secondary_sourcename,String,False,,,,
UnusedTarget,,,,,m360_start_case_status,String,False,,,,
UnusedTarget,,,,,m360_start_travel_status,String,False,,,,
UnusedTarget,,,,,m360_unhcrcasenumber,String,False,,,,
UnusedTarget,,,,,m360_urgency,Lookup,False,,,,
UnusedTarget,,,,,m360_urgencyname,String,False,,,,
UnusedTarget,,,,,modifiedby,Lookup,False,,,,
UnusedTarget,,,,,modifiedbyname,String,False,,,,
UnusedTarget,,,,,modifiedbyyominame,String,True,,,,
UnusedTarget,,,,,modifiedonbehalfby,Lookup,False,,,,
UnusedTarget,,,,,modifiedonbehalfbyname,String,False,,,,
UnusedTarget,,,,,modifiedonbehalfbyyominame,String,True,,,,
UnusedTarget,,,,,overriddencreatedon,DateTime,False,,,,
UnusedTarget,,,,,ownerid,Owner,True,,,,
UnusedTarget,,,,,owneridname,String,True,,,,
UnusedTarget,,,,,owneridtype,EntityName,True,,,,
UnusedTarget,,,,,owneridyominame,String,True,,,,
UnusedTarget,,,,,owningbusinessunit,Lookup,False,,,,
UnusedTarget,,,,,owningbusinessunitname,String,True,,,,
UnusedTarget,,,,,owningteam,Lookup,False,,,,
UnusedTarget,,,,,owninguser,Lookup,False,,,,
UnusedTarget,,,,,statecode,State,True,,,,
UnusedTarget,,,,,statecodename,Virtual,False,,,,
UnusedTarget,,,,,statuscode,Status,False,,,,
UnusedTarget,,,,,statuscodename,Virtual,False,,,,
UnusedTarget,,,,,timezoneruleversionnumber,Integer,False,,,,
UnusedTarget,,,,,utcconversiontimezonecode,Integer,False,,,,
UnusedTarget,,,,,versionnumber,BigInt,False,,,,
